"id_tps"	"name"	"sex"	"set"	"nat"	"age"	"weight"	"height"	"Attractiveness"	"Sextypicality"	"Asymmetry"	"Distinctiveness"	"SATRA"
"37"	"F44"	"F"	"BRAZ"	"BRAZ"	34	82	162	1.83333	-0.511980588580958	0.148679244456282	0.0580264129709156	-1.32112074456594
"38"	"F45"	"F"	"BRAZ"	"BRAZ"	21	57	167	1.91667	0.685439238173032	0.140776152933167	0.0403388204657764	-1.21475552720631
"39"	"F46"	"F"	"BRAZ"	"BRAZ"	19	64	174	3.70833	0.482267588686477	0.146928119392634	0.0477454758936218	1.0719052039499
"40"	"F47"	"F"	"BRAZ"	"BRAZ"	18	59	167	3.25	0.435589715539056	0.144689396795337	0.0511590769623303	0.486947559692158
"41"	"F49"	"F"	"BRAZ"	"BRAZ"	29	59	176	3.04167	-0.153649978153578	0.143253147792817	0.041436596572201	0.221060041903196
"42"	"F50"	"F"	"BRAZ"	"BRAZ"	24	50	155	3.08333	-0.635964353561279	0.142128906386036	0.0637710408070838	0.274229887777953
"43"	"F51"	"F"	"BRAZ"	"BRAZ"	19	61	156	2.29167	-0.646886305623608	0.14378911859527	0.0548166103251588	-0.73615033750314
"44"	"F52"	"F"	"BRAZ"	"BRAZ"	20	67	160	2.58333	-0.211014098219616	0.141837748338815	0.0612747497963126	-0.363910365159604
"45"	"F53"	"F"	"BRAZ"	"BRAZ"	24	53	164	2.5	-0.151023455595151	0.144736317179484	0.0372080682361588	-0.470262819714177
"46"	"F54"	"F"	"BRAZ"	"BRAZ"	24	57	171	3.66667	0.195008067713208	0.143454557837705	0.0387789139799694	1.01873535807514
"47"	"F55"	"F"	"BRAZ"	"BRAZ"	26	62	169	2.58333	0.168951783853655	0.140896719690843	0.0477210614375825	-0.363910365159604
"48"	"F56"	"F"	"BRAZ"	"BRAZ"	19	58	161	1.66667	-0.599088245635154	0.144213276326491	0.0594327996136804	-1.53382565367509
"49"	"F57"	"F"	"BRAZ"	"BRAZ"	20	64	168	2.20833	-1.60386121752165	0.145383330350739	0.0898021746645526	-0.842515554862772
