Rater	2040	4042	4090	4120	4130	4170	4200	6060	6080	7040	7060	7070	7090	7100	8010	8020	8030	8040	8050	8060	8070	8080	8090	8100	8110	9010	9012	9013	9020	9022	9023	9030	9032	9033	9040	9042	9043	9050	9052	9053	9060	9062	9063	9070	9072	9073	9082	9083	9102	9112
CZ16R1	3	2	2	2	2	3	3	2	2	2	1	2	4	2	3	2	2	2	2	4	4	2	5	3	2	2	1	5	3	2	3	3	2	3	5	2	1	2	3	3	3	4	2	2	7	4	3	2	2	1
CZ16R2	2	2	3	2	2	4	5	2	3	2	2	2	3	4	4	3	2	3	2	7	3	2	3	2	2	3	2	4	3	2	2	3	2	3	3	3	3	2	5	3	3	3	3	2	5	3	2	2	4	3
CZ16R3	2	3	4	2	1	5	4	2	3	3	2	3	2	4	5	2	3	2	2	6	5	2	4	3	2	3	1	6	3	2	3	2	1	4	2	2	3	3	5	4	4	4	5	2	6	3	2	2	4	2
CZ16R4	3	2	2	3	1	4	3	2	3	2	2	3	2	2	3	2	2	2	2	4	3	1	5	2	2	4	2	4	2	3	2	3	2	4	5	2	3	3	6	4	4	3	3	2	5	2	3	2	4	1
CZ16R5	1	1	1	2	2	4	2	4	3	3	2	3	2	4	3	2	2	2	2	4	6	1	6	3	2	2	2	3	4	4	3	2	2	2	4	3	2	4	5	7	3	3	3	2	6	5	3	3	4	1
CZ16R6	2	2	3	2	2	2	2	2	2	3	1	2	2	3	3	2	2	2	2	3	3	2	2	3	1	2	2	4	3	2	2	2	2	2	3	2	2	2	3	3	3	3	4	2	6	2	3	2	3	1
CZ16R7	3	2	2	2	1	3	3	2	4	2	2	3	4	2	2	2	4	2	2	4	3	1	3	3	2	2	2	5	2	2	3	3	2	4	3	3	2	2	3	5	3	2	6	2	7	2	5	2	4	2
CZ16R8	3	2	2	3	3	4	4	2	2	3	3	3	4	5	4	3	4	3	3	7	4	2	5	3	3	4	3	5	3	4	4	4	3	4	5	3	3	4	6	5	6	3	4	3	5	3	3	3	5	1
CZ16R9	1	5	1	2	1	4	2	6	4	1	1	3	5	1	2	2	1	1	1	2	2	1	6	2	2	4	1	6	3	4	2	1	3	5	2	1	2	7	1	5	3	1	4	1	7	3	3	1	5	4
CZ16R10	4	2	3	2	2	2	4	3	3	3	2	3	3	4	4	3	4	3	2	5	2	2	4	2	2	2	2	6	4	2	4	3	2	4	4	1	3	3	4	5	3	4	3	2	6	2	4	2	3	2
CZ16R11	1	1	2	1	1	1	3	2	2	1	1	2	2	3	2	1	2	2	1	4	3	1	1	1	1	1	1	4	1	1	1	1	1	3	2	1	1	1	3	2	2	2	3	1	5	1	1	1	3	1
CZ16R12	3	2	5	2	2	2	5	3	4	2	2	2	4	2	3	4	4	3	3	4	3	1	4	2	3	2	2	6	3	3	2	4	1	5	5	4	3	4	7	5	5	4	5	1	6	3	3	2	5	1
CZ16R13	4	3	4	3	2	3	5	4	4	2	1	4	3	3	3	4	2	2	2	4	3	1	4	2	2	2	1	5	4	2	3	2	2	5	4	2	3	2	4	4	3	3	2	1	6	4	4	2	4	2
CZ16R14	2	2	3	1	3	4	4	4	2	2	2	2	4	4	4	3	3	2	2	6	4	2	7	3	2	3	1	7	4	4	3	2	2	5	3	2	4	3	6	5	5	4	5	2	7	4	3	3	5	2
CZ16R15	2	1	2	1	1	2	4	1	2	2	2	3	3	4	2	1	2	1	2	4	2	2	2	3	1	4	1	5	1	1	2	1	1	5	2	2	1	4	2	3	2	3	2	1	6	3	2	1	3	1
CZ16R16	2	2	2	2	2	2	2	1	2	2	3	2	4	2	3	3	2	1	2	2	2	2	3	4	1	4	2	3	2	2	2	1	2	4	3	2	2	2	4	3	3	1	4	2	4	4	4	1	3	2
CZ16R17	3	2	2	2	3	3	4	3	5	1	2	2	3	2	5	3	4	3	3	5	3	3	5	2	3	5	2	5	2	3	3	6	2	6	7	5	1	3	7	6	3	4	4	2	5	5	2	3	6	4
CZ16R18	2	3	3	3	2	2	4	2	5	2	1	3	4	4	2	3	3	2	3	3	2	2	4	4	1	6	1	5	2	2	2	2	2	4	4	2	1	4	3	3	3	4	4	1	7	2	6	2	3	1
CZ16R19	4	5	3	3	3	4	7	4	6	3	3	3	6	5	4	4	6	4	2	6	5	4	5	4	3	6	3	6	4	4	4	5	3	6	6	3	4	3	5	6	5	3	4	1	6	3	3	2	4	2
CZ16R20	4	3	3	3	3	5	4	3	4	3	2	3	4	4	3	3	4	3	4	5	3	2	4	3	2	4	3	4	3	3	4	4	3	4	4	3	3	3	4	4	4	4	4	2	6	3	5	3	4	2
CZ16R21	2	2	2	1	1	3	5	2	3	1	2	1	3	2	1	2	2	2	2	3	2	1	4	4	1	1	1	6	2	2	1	2	1	3	2	3	2	7	2	2	2	1	2	1	7	3	2	1	5	2
CZ16R22	3	2	1	1	1	1	7	3	3	1	1	1	1	2	1	1	3	2	1	2	1	1	3	1	1	2	1	1	1	1	1	1	1	1	4	1	1	1	2	1	4	1	1	1	4	1	2	1	2	1
CZ16R23	1	2	2	1	1	5	2	1	2	2	2	2	1	2	2	1	2	1	2	3	2	1	2	2	1	2	1	4	2	2	1	1	1	2	1	1	1	1	2	5	4	4	3	1	4	2	2	1	2	1
CZ16R24	1	2	3	1	2	3	3	2	2	1	2	3	2	3	2	2	2	2	2	5	3	1	3	2	1	2	1	4	2	2	1	2	2	5	2	1	2	2	3	3	4	4	4	1	6	2	4	1	4	1
CZ16R25	2	1	3	1	1	3	3	2	1	3	1	2	3	2	5	1	1	2	1	4	3	1	2	2	1	1	1	3	2	2	2	1	2	4	2	1	2	2	4	3	4	3	2	1	7	2	2	1	3	1
CZ16R26	2	1	2	1	1	2	4	4	1	2	1	2	1	2	2	1	1	1	2	3	3	1	2	2	2	2	1	4	1	1	3	2	2	2	3	2	1	1	4	2	3	3	5	1	5	1	4	1	3	1
CZ16R27	5	3	5	4	4	5	3	2	4	2	1	2	4	5	2	3	2	2	2	6	5	3	6	2	2	6	2	6	2	4	5	4	3	5	5	5	2	2	6	4	6	2	4	2	6	4	2	2	6	5
CZ16R28	1	1	3	1	2	2	3	1	1	3	1	1	2	3	3	2	2	1	1	5	2	1	4	1	1	2	1	4	1	1	2	1	1	2	1	1	1	3	4	3	2	2	1	1	5	2	1	1	1	1
CZ16R29	1	2	2	2	2	3	2	4	3	1	1	1	2	3	2	1	1	2	1	4	2	1	5	3	1	2	2	5	3	3	2	2	1	4	4	2	2	3	3	4	2	2	4	1	4	2	3	1	3	2
CZ16R30	4	4	2	2	2	4	6	4	5	3	2	4	3	4	3	4	3	2	2	4	5	3	4	4	2	3	2	6	2	4	4	3	2	6	6	4	3	3	4	5	3	4	4	3	6	4	4	2	5	4
CZ16R31	5	3	4	3	2	6	3	3	5	4	2	3	4	5	4	4	4	3	3	6	6	1	5	4	2	4	3	7	4	4	2	4	3	5	5	3	4	3	6	6	6	4	4	3	7	5	4	5	4	2
CZ16R32	3	3	3	3	3	3	4	2	3	2	3	3	3	4	4	3	3	3	2	5	3	2	5	2	3	2	2	6	3	3	3	2	3	4	3	3	2	4	6	5	3	5	3	3	6	3	3	1	4	2
CZ16R33	2	1	1	1	1	3	1	2	5	1	2	1	3	1	2	1	1	1	1	3	2	1	5	2	1	5	1	4	1	1	2	1	1	4	5	3	1	2	4	3	2	1	2	1	3	3	2	1	4	1
CZ16R34	1	2	4	2	2	4	5	2	3	3	3	2	4	4	4	3	3	3	2	6	3	1	4	3	1	3	1	6	3	2	3	3	3	5	2	2	3	3	5	3	4	3	3	1	5	3	4	3	5	1
CZ16R35	2	1	2	2	1	1	4	3	2	1	3	3	4	2	3	1	3	1	1	1	2	2	4	3	1	2	1	3	1	1	1	1	1	3	2	3	1	2	6	2	3	1	3	1	4	3	1	1	3	1
CZ16R36	3	2	6	2	1	3	4	3	4	4	3	3	4	4	5	3	3	3	2	6	4	1	7	3	3	3	2	7	4	4	4	4	2	5	5	3	5	5	5	5	3	3	5	2	6	4	6	2	5	2
