Rater	M_2_ATTR	M_4_ATTR	M_6_ATTR	M_7_ATTR	M_8_ATTR	M_9_ATTR	M_10_ATTR	M_11_ATTR	M_12_ATTR	M_13_ATTR	M_15_ATTR	M_16_ATTR	M_18_ATTR	M_28_ATTR	M_31_ATTR	M_36_ATTR	M_44_ATTR	M_54_ATTR	M_55_ATTR	M_57_ATTR	M_77_ATTR	M_78_ATTR	M_79_ATTR	M_88_ATTR	M_90_ATTR	M_93_ATTR	M_96_ATTR	M_103_ATTR	M_119_ATTR	M_121_ATTR	M_122_ATTR	M_140_ATTR	M_141_ATTR	M_142_ATTR	M_143_ATTR	M_145_ATTR	M_146_ATTR	M_147_ATTR	M_149_ATTR	M_161_ATTR	M_166_ATTR	M_168_ATTR	M_175_ATTR	M_191_ATTR	M_193_ATTR	M_202_ATTR	M_203_ATTR	M_209_ATTR	M_210_ATTR	M_217_ATTR	M_223_ATTR	M_224_ATTR	M_225_ATTR	M_230_ATTR	M_240_ATTR	M_241_ATTR	M_247_ATTR	M_249_ATTR	M_250_ATTR	M_251_ATTR	M_252_ATTR	M_267_ATTR	M_268_ATTR	M_289_ATTR	M_290_ATTR	M_291_ATTR	M_293_ATTR	M_296_ATTR	M_313_ATTR	M_314_ATTR	M_317_ATTR	M_318_ATTR	M_319_ATTR	M_322_ATTR	M_324_ATTR	M_327_ATTR	M_337_ATTR	M_348_ATTR	M_356_ATTR	M_358_ATTR	M_372_ATTR	M_400_ATTR	M_401_ATTR	M_407_ATTR	M_409_ATTR	M_410_ATTR	M_411_ATTR	M_413_ATTR	M_417_ATTR	M_422_ATTR	M_437_ATTR	M_440_ATTR	M_443_ATTR	M_448_ATTR	M_458_ATTR	M_459_ATTR	M_462_ATTR	M_463_ATTR	M_476_ATTR	M_477_ATTR	M_483_ATTR	M_496_ATTR	M_499_ATTR	M_500_ATTR	M_501_ATTR	M_506_ATTR	M_507_ATTR	M_510_ATTR	M_515_ATTR	M_516_ATTR	M_517_ATTR	M_520_ATTR	M_528_ATTR	M_529_ATTR	M_540_ATTR
TUR87												1														1																						1																1																											1						1					1									1				
TUR88			1																																													6		1								5													1											1																							1					4					
TUR89												5								5																	1																												1																					1		5												4												3			
TUR90										4																	2																								1	3	5																												3															2							1												
TUR91																											1	1							4	1									4																																										1						5																						
TUR92																						1						4											2								3					4						4																												3																													1
TUR93			6																1							1																	2											1									1																										2																						1				
TUR94																	1					3							2				2																					5																												2					1		1																										
TUR95		4																													4																																				1						2	4	2																																				2			3	
TUR96																							2																													2											2	2						3						2				2														1																					
TUR97			4			2																																3							4						1					2																3	4																																										
TUR98								1					4							5			2																									3			2									1									1																																														
TUR99									1																	1			3																															1								3		4																			1													1													
TUR100																	3															1												2									6							1		2			2							1																																											
TUR101											1															1						1	2								1							1																																																															1				
TUR102									1									1	1					1	1																		1																																1															1																									
TUR103								1									2	1																						2	3																															1																												6															
TUR104				1																			4																																																												1								4			3		1				2															
TUR105										3									4							6													2																				6														6																								5																6		
TUR106						3																						3													7						7																															7																							4														4
TUR107																	1												1											1		1															1						1	1																																																		1	
TUR108									1												3																																			3													5							2												2																										1	
TUR109												7				3																							1																																														2			4															6											3	1
TUR110															1																											1																														1		1									1								1					1											6								
TUR111				2							1						3										2										5																								1												1																								1																		
TUR112							1					5						4																																																						3				2																			2			1		4															
TUR113									1					2									3																				1											3						1																			4													1																							
TUR114															2				2																																																											6		3																		3												6	4			5	
TUR115																																															3				1								1					1																					1								4																		1		1		
TUR116																																		1										1																					1		1																																						1			2	1			1			
TUR117																																							1																		1													3						1				2								2										1																	1
TUR118																											3			7						3							1				3							1																																					1																						1		
TUR119																		5				2								5	4																							1																																		4															2												
TUR120																				5																							2								4				4		2												2			1					2																																						
TUR121												6							1																		5		4																								5														3														1													1											
TUR122	2											4	1		1																	1																								2																																	1																		3								
TUR123					1												1																					1																	1													1				1	1													1																													
TUR124																																																																																																																			
TUR125			3								4			1																										2																					2																																					1	2							1									
TUR126			5												4																																			4																								4																							4				4												4		
TUR127																				7							1																																			1													1								1		1													1															1		
TUR128														2																	1			1																				3									1													4																																					1		
TUR129										1		3				2																		3																																							1	3																				5																			4		
TUR130																															4							7	1															2					3																																					1														1			2		
TUR131		5																																4									2										4																																				3								1	1															5		
TUR132				2																		1																				2			6			6					2																					1																																							6		
TUR133																																3																										6										3											1						4																							3					1		
TUR134							1																																									3					1													1							5									3																															3		1
TUR135						2																								2		2	2																		2															2																													4																		2		
TUR136														6			2	1																																			2																2																							6										1											1		
TUR137					1																																				1																																			1							1					2												7					1								1		
TUR138			4																						2																								3																										1	2																																			1		1		
TUR139																							2									1										1					5		1														1																																	1																	1		
TUR140			5			1							1												4																																						2																					1																							3						1		
TUR141										2	1			4										1															1																																																																										3		
TUR142	2																4			4																3				2																																					2																								1												2		
TUR143																															4				4						4																		4																								4																										4				4		
TUR144					1										1																																											5								1															1							2												3													1		
TUR145								6		5																																												6								3					4		2										2																																		4		
TUR146		5						2																																	3						7							1																																														1						1							2		
TUR147				3																																					4												4																4					3																														1					4				1		
TUR148																												1						1													1									3																				1																																			1		1		1
TUR149					1			1																							2			3																																					3					3			1																																		2		
TUR150																	1														1	1					3								3							1											2																																																		1		
TUR151																						1														1						1							1																		2											4		1																																	1		
TUR152									2									2							2																								3																													3								2								3																			2		
TUR153									2																										7										6														1				3									1																							2																		1		
TUR154									1				1																												4				3					1		1														1																																															1		
TUR155			3		1																									6																									3				5																																			3																			3		
TUR156	1														1																																																									1				3			1																						1												2		
TUR157		4																								3									5	3																		4																																	3				4																						2		
TUR158						1																								1				1																															1							1													1												1																2		
TUR159																						2				3													1						3																									6																				1																					3		1		
TUR160	2																											2																	3																																							1																5					6	2							2		
TUR161					2	2																	4																							2																							2																																												3		1
TUR162																								1										2																							3										2																													2					2			4									2		
TUR163	1																																																1									2										1		3					1																												1										2		
TUR164																									1																3		1																																		2		1							2											1																2		
TUR165																																																			1	1									1															2		2						1														1															3		
TUR166																		3																										1				3																																	2																								1		3	2					2		
TUR167				3			1																		3																								1																																			1											5			2															2		
TUR168											2																																		1				1	1										1													1																												1												1		
TUR169						2										2														2				1											2							1																						2																																							1		
TUR170																1																									1										1						6					1																						1		1																											1		
TUR171			2																																											2																			3				1																			1						1																1			2		
TUR172																					1																																																									2		1						1				3																		4					4		
TUR173																							2			2				2														1																2												1																										1															2		
TUR174						2															3																																				3														4																									4	2					3											4		
TUR175	1					1		1																				1																				1																						2																																											1		
TUR176							1																					1																			1																																		1																	1												2	1		1		
TUR177	1																																										3				1																																						2								2		2														3				2		
TUR178								3											1	6																					7																							6						7												3																															2		
TUR179					1																							1	1																					1																								1															1																		3						2		
TUR180												2							1																					2																									1											1																										1									1		1		
TUR181																										6																									2																													4																	1							5											
TUR182																																	1				3													1															1		1									3																																					2		
TUR183						2																																					2			3																									3							3																	4													3					2		
TUR184																								1																												2			1																																1			1																						3	1		1
TUR185																			1							4															4																			1														1		3																																				4	3		
TUR186																			1								2			3																										3								4																																															3	5	3		
TUR187								1									1																			1																			2		1																																																					4		6	6		
TUR188									3			3									2																3																	2																																																										5	2		1
TUR189				2																																							2													5																										4			6																											4			1
TUR190																						4										3											3																																	2												4						3																					3
TUR191						1																																		5																			3					3																					3			1								1																			
TUR192										1											2								1								3																							1																		1					2																										1						
TUR193								1		1						2															1																																									1																2					2														1								
TUR194															2																		1									3																										1																								2									1												2	2	
TUR195																										1																																								1	1																1			1									2													1		1					
TUR196						1		1										1				1										5																																		1										4																																	5						
TUR197								1					2									1								5																													1						1																																																1	6	
TUR198																			1																								2																						2								2						1										2																								2	3	
TUR199											3										1	3			3					5																													1	2																																4																							
TUR200																										4																																					3			1					4			1										1										1																					
TUR201																							2																											1	1																			5					1						3																		4									4							
TUR202																				4								5					4										1	3					1													2		4																																																			
TUR203				2																																				1						2												3			2																											1																		1			2						
TUR204												3	1														1				1											1					1																													1	1																																						
TUR205										1																			1					1	1													5					1																																						1											1													
TUR206															1																	1						6																											4			5	1																				1																										
TUR207							1										3																																							1																						2																			1				1		1												
TUR208		4									3																						4																																				4													3										3	5									3													
TUR209										3																											3							2				5					4			3				2															2																																								
TUR210													2								4															6															6	7														1																								4																									
TUR211								1																			1																											3																	1													1																							4			5					
TUR212	2															6																							1																5															6			1				5									2																													
TUR213					1																			1						3		1											1		2		6																																												2																								
TUR214																							2		1																																								1													2									1	1																	1										1
TUR215																			2	5															6																							6																							2								2																	2			4						
TUR216																																		4												5													3									5															3		3											4												3							
TUR217									1																				1								1					1																4																								1											4						1																
TUR218																			1					1																1																													1																				1		1													1					1						
TUR219							1								1		1															1											1																																												1																		1	1									
TUR220																																				1								1				3												1																																1					1										5				1				
TUR221				4	1					3											1																																																					1							2			1																										7					
TUR222	1			1						1																																								1			2											1																					1																				1										
TUR223					1																						1										4															1													1					1																	3					6																							
TUR224						1																2																			5																																					3	3											2																	4								1
TUR225			2						4																										2					2								2																																			2													2	2																		
TUR226		3																5												3								2	2																																											2						3					4																						
TUR227		3	4																	4	2																		5									5																				2																														1																	
TUR228																			2																	1																																				3					2							1					1								1							2											
TUR229																	1																														7								1		3					2					5																		5							2																							
TUR230																													5						5							2			3								4																																																1								5						
TUR231	1																																								3			1		2				1													1																			1								1																									
TUR232					1									5																			3																																	1																														2							1				3				2				
TUR233																																3					6																							1																							5								5																	5							1
TUR234																								1							1												1																																	3																	2		1					3					1										
TUR235						1	1										5																																			6									4				3				4																									4																					
TUR236																														6																																					3	6						2						5						3									5		2																		
TUR237											4																		4																					2	5																																							1											2	1			1										
TUR238												3												1																					5				1												2																																																						
TUR239		5		3		2																															2																		5																																				6	5																							1
TUR240								3											1																									3				4										5														3																	2																		5								
TUR241																	4					2			4							2				1										6																																									1												3																
TUR242	1									1			1														1							2									1																			1																3																																					
TUR243																4		5																																		1	4																						1						4		3																																
TUR244																												1																																			2	1						3												1																					1	2				4							
TUR245							1							7																											3																								2	1													2																																				
TUR246											4									6																										6																									5												6	2																2				4											
TUR247									1														1																	2										1											1										2		2																			3																							
TUR248					7													2	3	1																																																																	2										7															1	3				
TUR249																														3		5																							3									1										2						4																												6							
TUR250			3											6							1					6																																											1												1																		4																1
TUR251	2									2		5																																4																																																								5	3						6								
TUR252						3				4			3																														4																																	3																			4							3						4							
TUR253									2																	3												4																																	3									2																	4						1	2											
TUR254							2											1																																																															3	2						4					6			2														7					
TUR255								5								6	5					3																	4						4																							3																						3																									
TUR256												5															1		2																																												6													1			1		6			1																					
TUR257			1																	3																													1																1				2								1	2																																					1
TUR258																					3																																		3																				1				3													3								5									6						
TUR259	1							2								1							5										2						1																	1																																																											
TUR260					1																			1				1																		1											1					1										1											1																																
TUR261		1											1																								1							1															1																	1											1	1																											
TUR262																5															1					2														1																																																							2	2									
TUR263	1				1																			1																	5														3																																		1									1		6															
TUR264				1										3																																											1																1					2																	4				2		1														
TUR265																	4									6																					2																									1								4										1				2													4								
TUR266								4																			2													1																				1																	2					1														1						1													
TUR267									1													1	1												4								1																					3						4																						1																							
TUR268			1																	1	1																					1												1											1				1																																		1												
TUR269												1																																					1								1		1																									1		1													1		1														
TUR270																							1															2																1		1											1																	1									3																						
TUR271						3		1																	3																																																		2					4							2										4														1				
TUR272				3								2																							3																														2					4											3								1																										
TUR273											4		2																																	7				1																					2				2																										5										6				
TUR274																												4						1							4			1	2										1																																								6									1											
TUR275											1			5				2			1											1	1																																				1									1																																					
TUR276									1						1														2													1																														2				3									2																														
TUR277		4														4																								3						4					2							4																														3						3																					
TUR278													3																										3				4							3		5																5			5			3																																									
TUR279				2				2										4																							2											4									2										2																																			1									
TUR280											4																																						4											3																					5									4									5		3														
TUR281																																																														1																2		1			5													1	1			1											1				
TUR282		4								2																																																																1	1													1	1					1									1												
TUR283														1	1							1	1						1																									1				3																																																									
TUR284																								4				2												1						2		5		1														1																																														1					
TUR285																				1	1															1																	1																										1								1															1					1								
TUR286												5																1												4		3																				1										1											4										5																						
TUR287							1									6										6	1															1															1		1																									1																															
TUR288		1																		2																																1			1		4												1	4											1																																		
TUR289	1					1							1													1											1								6																									1																																													1
TUR290																	6																			1															2		3																				1					6																				1							1										
TUR291	3																																		6																								1				3																													5																							
TUR292											5													1																												2			6													6												5	2																																		
TUR293																			1			1		1	1																				5																																									1														1									1						
TUR294										6																				5							2									3			3																																								2		3					5																			
TUR295																5						1														1					4				5					2							1													5																																													
TUR296						6																										2																																5		3									3							1																		3															1
TUR297				4				4																	4																															3				2					3																						2							3																					
TUR298			7																								2		4									4																																				1										2													1							2											
TUR299					1		1					7			1																																							6																																				2									2									3							
TUR300					3																																								2		3					2															2						2								2														2																				
TUR301							2																		2			2																		3								3																		1																																				4			2				
TUR302													3						3								1			3																																						4														1	2																											6					
TUR303										1							3																	4	6																																																		4						2						1			2															
TUR304												7																																							6		5			2			3			3		6	1																																																		
TUR305		4							1	1										3			3																																											2																					1														2														
TUR306																			1																													3																1														4		2			4																				1							2					
TUR307	3																												6																				5			5										4												5																							3														3				
TUR308																							1				1			1																	1													1																															1										1						1								
TUR309											2	4																				2			3																		2																													1																				1				2									
TUR310			1																																			6		4	2																									6																			5	1																													
TUR311												4																									7					2				7			1												2																											6																			6								
TUR312						1	1			1																													1								7																						1																							3																							
TUR313																2												3								1		1			7																											6									2													3																									
TUR314																		4		2		2													4																						2						4																	2																													3						
TUR315					2				1																																											3	6					7															5		1																							1																	
TUR316																	4							4																					4																	4									4			4																	4																				4				
TUR317																					1					2																						3				1																				1														1															2							3							
TUR318											3					3																																										3																											2			3	2																										
TUR319										1		4																																																								2		7			2																										6	1								1							
TUR320		5																	1														3					1									6							2																														2													4																		
TUR321																												4						4																							3					2																5								5										4																			2
TUR322																															2												1	1				2																										1					5												4																		1						
TUR323					3			3																					4								4																3																																									3							4														
TUR324																			1									2																1														2															1																2					1		3																			
TUR325												3																							5								1																								1								1				1		2																										2								
TUR326						1																		1						1									1												1																																												4				1										2						
TUR327								1	2									3																				3												1										1										5	1																																												
TUR328																						4				2																				3										3					2																										2					3																							2
TUR329											3				1																			1						1							2																															4					3																																
TUR330							2																							1																							3					6							1																			1																					1										
TUR331												1																										3																								1											2						1																							1								1					
TUR332											1											1						1								1	3					1																																		3																1																							
TUR333																								2																												7																	4			1		6						3													6															2							
TUR334																									3						5									3															2				4																										5		2											3																	
TUR335									3																		2						2												2		4																																																														2		2				1
TUR336								3																																						5																		1				2										1								1					1						1																		
TUR337	4		5										3																										3																											4	4																							2											5														
TUR338														1			1																2																					1	1	1								1																																								1											
TUR339						3				4											3					7						2							4																							1																								2																													
TUR340																1								1																	2	1								1		1																				1										1																																	
TUR341								2																							5					3												5										6																													3	5										4																	
TUR342									1		1																													1																																							1										1											1		1				1									
TUR343							1																					2										3													1																						2				1																			1																			1
TUR344															7					6									6																6		7														7							6													7																																		
TUR345					1											1				1																								1																						1							1																		1													1											
TUR346																														3				1		1																																														1			2							2			3			1																	
TUR347								1														5																		4																															3	1															2			1							1																		
TUR348				1						2																	1																																											4																			1											1							2								1
TUR349	1								2															1														4															4		2		2																													1																													
TUR350											3										3							1															4									2										1																																											6						2				
TUR351				3																									5										2																	4									1		1									3																																							
TUR352		2											4																																					2								4										3																1												2					1														
TUR353													2										5				2																																				4		1																													1								3													
TUR354																		4																											4														1	2	1																4			4																										4									
TUR355		4	3															2								5																		4																																														2			4																						
TUR356																																				1												4								1																					1										1								4										3					1					
TUR357	1																																																	1	4																	5			2					2			3																																				
TUR358											5									3								2									1																																				1					3				1																			2														
TUR359							4	2																	4						4												5												5																																										5											3							
TUR360					1																											1																						3					1	1		1																		2						1																													
TUR361																														6											1					6							7								1											1																																		3									
TUR362																	4																2		6			5																																											5																	3		4				2											
TUR363																			1															6																										2								4																		3											1				2														1
TUR364																				2								1																																						2									1	5		4																												4				3					
TUR365							3							2																														3																													2				6			2		3						5																											
TUR366																																2						5																			2										2																							2								2		2											2				
TUR367												3												5																							4				1	3													3																												5																						
TUR368								1								3																				2	5		1																						4																								6																														
TUR369																						4	5																	5									5															3															2																								3					4							
TUR370			2									2									1					1																																			1						1																	1																		1													
TUR371						1		1																							2			2																	1													4	1																																				2														
TUR372																																						1										4											1														1								1																						1	1		1									
TUR373															1																					1																					1					1						1																					1									1										1							
TUR374	4																	4																									4				4																						4								4								4						4																								
TUR375																						1																							1											1							1																													3	1																						
TUR376									1							2										2																								1																					2			1																					5				1																
