Rater	M_2_ATTR	M_4_ATTR	M_6_ATTR	M_7_ATTR	M_8_ATTR	M_9_ATTR	M_10_ATTR	M_11_ATTR	M_12_ATTR	M_13_ATTR	M_15_ATTR	M_16_ATTR	M_18_ATTR	M_28_ATTR	M_31_ATTR	M_36_ATTR	M_44_ATTR	M_54_ATTR	M_55_ATTR	M_57_ATTR	M_77_ATTR	M_78_ATTR	M_79_ATTR	M_88_ATTR	M_90_ATTR	M_93_ATTR	M_96_ATTR	M_103_ATTR	M_119_ATTR	M_121_ATTR	M_122_ATTR	M_140_ATTR	M_141_ATTR	M_142_ATTR	M_143_ATTR	M_145_ATTR	M_146_ATTR	M_147_ATTR	M_149_ATTR	M_161_ATTR	M_166_ATTR	M_168_ATTR	M_175_ATTR	M_191_ATTR	M_193_ATTR	M_202_ATTR	M_203_ATTR	M_209_ATTR	M_210_ATTR	M_217_ATTR	M_223_ATTR	M_224_ATTR	M_225_ATTR	M_230_ATTR	M_240_ATTR	M_241_ATTR	M_247_ATTR	M_249_ATTR	M_250_ATTR	M_251_ATTR	M_252_ATTR	M_267_ATTR	M_268_ATTR	M_289_ATTR	M_290_ATTR	M_291_ATTR	M_293_ATTR	M_296_ATTR	M_313_ATTR	M_314_ATTR	M_317_ATTR	M_318_ATTR	M_319_ATTR	M_322_ATTR	M_324_ATTR	M_327_ATTR	M_337_ATTR	M_348_ATTR	M_356_ATTR	M_358_ATTR	M_372_ATTR	M_400_ATTR	M_401_ATTR	M_407_ATTR	M_409_ATTR	M_410_ATTR	M_411_ATTR	M_413_ATTR	M_417_ATTR	M_422_ATTR	M_437_ATTR	M_440_ATTR	M_443_ATTR	M_448_ATTR	M_458_ATTR	M_459_ATTR	M_462_ATTR	M_463_ATTR	M_476_ATTR	M_477_ATTR	M_483_ATTR	M_496_ATTR	M_499_ATTR	M_500_ATTR	M_501_ATTR	M_506_ATTR	M_507_ATTR	M_510_ATTR	M_515_ATTR	M_516_ATTR	M_517_ATTR	M_520_ATTR	M_528_ATTR	M_529_ATTR	M_540_ATTR
TUR418												1										1																				1					4														1																	4																					2								2								
TUR419								3			3									5					6																														4								6													2																										3													
TUR420		4							1																																									1										1		1												1									2																				1												
TUR421			1																											3														2										2																																3					3	2						2																	
TUR422												3																			3		1			1		3								2																																																											2			4							
TUR423							1							5										1																										1																																2						5																5											
TUR424																		1				1							1								2	1							1												1																																																						1				
TUR425																			1													1								2									2							6			1		2																														5																								
TUR426			3																												1			4																																					2																						2			1			3																
TUR427					2															4																																																2										3																								3				1									1
TUR428						1																					1																			7	4																														4										1																1					3							
TUR429				2																																1			1					1							1														1																								1									1																	
TUR430																	3											1		1											2											1			2																												1											2																					
TUR431																									2																		2																							2								1											2												3													4					
TUR432		6																								1							1									1																2												4														1																															
TUR433													1																																															1			1	1								1								1															4						1														
TUR434																																																																							1				1		1					1								1										2	2				1										
TUR435																		3		4					5																										1				5					1		1																						1																															
TUR436							1																						2					1																		3																							1																											1					4								
TUR437										1		1									1					1																																											1																		1		1															1											
TUR438				2										5																	2				3																																					2											5									2													7										
TUR439									1		2																									1			2						3																						2			3			2																																										
TUR440																							5				3					5																6								4																				1																			4														2						
TUR441													1																	1							1																					1										1													1																1						1												
TUR442		3			4				3																											3												5																	1																			1		3																													
TUR443															1													1							3							1										1								1																							5																																
TUR444																																					2									6	5																					3							2												4																							5					1
TUR445																1																2								1																		4				2																			1								1																										
TUR446													2								2																						4																																																4	2						3				3						3							
TUR447																			1														2																						2	2																													1												2				2					2									
TUR448											5	6											4			2			4																																			2																															5				2																
TUR449																						5													6			5																												1			4																												2			2			1												
TUR450																		4																													3								2					2	2												1														1	1																											
TUR451						1																			1								1											1							1													2															2																				3																
TUR452														5																																				1															1		3										1			1												2												1											
TUR453											2																										2																1																															1	3					1						1													1						
TUR454					1												3									1					3											1															1																			1																														1									
TUR455			4							2																				5											3																	5																								2																									5								
TUR456				4																																							1		6				3							5															5																				4																	2							
TUR457									2										1																												6	5											2												3					3									4																														
TUR458																																					4															2																				1									6																					2													1
TUR459						1																																					3	1														6						5																						1																						5							
TUR460		4																													4			1						2																		5				1																								1		5																											
TUR461																																												1																											1								2		4			1																					3										
TUR462								1														1																														1																						1									1											1										1											
TUR463																			2					4																						6													1								1																	1																	1				5										
TUR464																									2																													1	1										1																							1											2			1							1						
TUR465							1							7																											2							3																				1												1												1					1																		
TUR466																										1			1											1																														1			1								1				1																					1									
TUR467																											2															1																				1																													3				5	2							1				4								
TUR468		6	4							1	2																																																		1																					1							1																										
TUR469									1																															1						2			1									1																	1																					2																			
TUR470																												1											1		1				1								1															2																															1	2															
TUR471	1																						6									1						5									1								4																																																	2											
TUR472						1																			3																											1		1												2				3															1					1																									
TUR473				4							4													2																																	2																														1	5							3							1													
TUR474		2							1								1																			1															1																											1			2																													6					
TUR475													4																				3																							2								3										2												4											2									3									
TUR476															1						2									5																																																						1									6	3													6	3							
TUR477										1						1						3							1															1						1					3																																				3																								
TUR478	2				2			4												6					2										7														1																						3																																												
TUR479			1														1																											1		1																							1											1								1																		1									
TUR480											1																													2							6											3																															1													1		2	1										
TUR481				3																			4																		5																																								4			3		3													4																3
TUR482																															3											1											1													2	1								1																										3						3								
TUR483								1								2					1																	1														2																																																			2		1										
TUR484									1				1		1																																																							2																				1			3																						
TUR485			3				1													7																															5																												1			1																					1												
TUR486															1										6																																						5					5			1											1	1		2																														
TUR487					1							2				1																		1												1			1																																			1																		1													
TUR488																		4						1															1					1										3													1																											2						4															
TUR489	1																																2																	1																														1										1						3		5								1									
TUR490			4													4																										1		2									4																					1					4																				2																
TUR491													2	5								2										1										1			5			7					6																																																														
TUR492																							3			1				1						1																																				1																3	1															1											
TUR493									1														3																1				1			5			1				5																																3																														
TUR494	2											6																	4															1																															1								5															1																	
TUR495																																																							3													1		6			3						1	1																1								1											
TUR496										1									1															1						1					4																										1													1															3																
TUR497							1					6												1																												3											5					6																										1														4							
TUR498				1																	1	1																																								1			1																														1					4											1				
TUR499				1																						1																			1															1																																1	2				1		1																
TUR500	1												3							3																											2										3												4																1																										1				
TUR501																									5			4							6					4																					3														1																									7															
TUR502																2																		2					2															2																									2							2										2												2							
TUR503											4	4		5																																4									4													6								4																																							
TUR504																						5		1									5											2																				4			2			5			1																																										
TUR505															4																																																																								1										4																		
TUR506																																										2									3																														4		4							3	3											3				3									
TUR507																		5																							5																									4											5																	4				4							7		5								
TUR508							5																												5					2													3																			3							4										4																						4				
TUR509				4												4																					1															3				2														5					1																						1																		
TUR510											5							4																											2		2																																							1	1						1							1															
TUR511																																																						1				3					1			1								1								1																1											3						
TUR512														4			1														3																																																													1				2			7							1									
TUR513																								2										5				3												5																					2																																	2	2			6							
TUR514	1	5																			1								1			1												1																					1																														7																				
TUR515			2																																				1																									3									1							1				1	1					1																									
TUR516			2									5			1																		1																														3													1	1																										1												
TUR517											2				1				1				3																			1						3		1																																																												2					
TUR518					2																																						2	1																																	2								2								3																						2
TUR519																				7												5		2			1	5													1				1																	1																																											
TUR520																												3					1		5						2																					1								2																													1	1															
TUR521																													5																		1						2					6							1														2								1																			1									
TUR522	1						1																							2									1						3																																																												4		2		2						
TUR523								2				3																																													2														1										1	1																			1		1												
TUR524				2																																																4							2							1		7															6	1					1																										
TUR525	1			1						1																							1																							1		2						1																																																			
TUR526																															4						4	3																																			3		1					4																													1		2				
TUR527		3																	1																																																				1						1						4				1			1											1														
TUR528								4					3			3						2																														3													3																							4						2																					
TUR529																																											1				1			1																	1																		1						1						1							1											
TUR530						1																	1																																													1		5																			1				5														6								1
TUR531					1																											1								4		1													4						1					2																2																																	
TUR532																	3																																					1																						3																																							
TUR533							2														2								2												2								2							2																						2																		2																			
TUR534				2											2																						1									2																											5						4																														2						
TUR535	1																											2					2																																							2				4																						2																	
TUR536																											1									1											5				1									1																										1					1																	1							
TUR537		2					1												1																														1																				1								1						2									2																							
TUR538																	2																							3																						1	5																								2			3							2									3									
TUR539								4																	1				1																																						1								1																												1	1											1
TUR540		4										4																																						2		2	4																																		3																					3							1
TUR541																	3								3								2							3								5															5														3															3																							
TUR542				5														5				5																													2										2																			1		2																								3									
TUR543																4																						4	2																												2	3					2												4				2																										
TUR544																			1	2								1																																														2																						1	1										1			6					
TUR545										3											3						2																																						2										2			6			2			1																															
TUR546																1																																			1														1									1						1										1		1											1												
TUR547								2												4																																	2																																			1						1					2											2	1				
TUR548																							1								1															3														1																			1							1					1													1											
TUR549																		1				1	2																		6				3											1																	1														1																												
TUR550																	3										1				2				5																																																															2				2				2			1						
TUR551					3						4														2															4																								1														5																		3									2										
TUR552									3																				3															3										2							2																														5						3			5															
TUR553																														2												1																					1					1			1										1			1	1																														
TUR554												4							1													2															2					1										2																				1																						4											
TUR555																																											1															1									1		1														1												2													1							
TUR556			3			2								5														2																															2											6							2																6																						
TUR557															1		2							1				1		2			2													2																														1																																							
TUR558													1																		2																																	1															1										1				3		5																				
TUR559																4																						3		2							3	6												2															1																													1											
TUR560								3			2																																																						1													3								2																				2	7				1				
TUR561														1					1																				1		2			1																							1															1																	5																
TUR562							1				3																2									3																																																5																	7	6			6										
TUR563				2																																					1																							3							1									1														1										1						4					
TUR564																															2		1									1			2											1											1			2																	2																												
TUR565									1	1		4							1					1				5																															1																			4																																					
TUR566					1												2	6																														7																																			2															1										1			2				
TUR567																																			5																									2			2			3											4		1			1																											3						
TUR568		5																				3																					4				2							5																											2										3												3												
TUR569														1											1																																																1			2																2			2	1																			
TUR570								1																					2									4													1				2		2				4														1																																								
TUR571													1		1			3			1															1																							1												1																							1																					
TUR572			3												1						1																		1																														2																				2				4																						1
TUR573																								1			1											4																			2					1																										3														3								1					
TUR574				1			1	1																	1																1														1														1																						1																								
TUR575					4												1																									1								1																						1	1																								1		1																
TUR576			4																															5																			6											2																			1				1		1														1												
TUR577	1					2										6																											3																							2												4			5												2																						
TUR578		3																												1					4											3																												1	1																															5			1						
TUR579																				3								1	1		1						1															1											1																	3																																			
TUR580																							1																					1																1																																						1		3	1				2		2								
TUR581		2																	1						1		1											1																																							1										1																	1											
TUR582			5																																																1					1															4					3									4	4																													
TUR583																																					3							2				3									2												2					2									2															2																	
TUR584																3																	3								4		1																									4												1												2																	5						
TUR585								2				6									4								5																																														2													6																				3							
TUR586																																																											3		1																	2							2												1		1				1												
TUR587					1												2																		4																											1	4																												2																			5					1
TUR588									1	3	1				1																2	1		2																								6																																																									
TUR589											3																																																											7	2																		3			6				2	6					2													
TUR590				1														3					2																	1		1											2																																								6	1																					
TUR591															1																				5												2									1							2																									4			3		4																						
TUR592									5										2																					2															2																			1									4	2																								2							
TUR593																									2									1									1										2												1		1													1	1																																		
TUR594														6						7						1	1		1																							7																									1																																2						
TUR595	1	4																															5								6									1								5																																																	5			4					
TUR596										1																																															4				1																								5					1										1			1												
TUR597												3																																					1					2																																													3						1										
TUR598																	1	1																																																		1										2				1												2							1					1									
TUR599			5				1	3					1															1																																					1																		3																								3								
TUR600																											1						1														6																1											1											1															1						1									
TUR601																																			5										5				1					3							2	2																4																																	3				
TUR602				2																	3		5																																2									3																										4							3																		
TUR603					3												4														3							7	2							6																													2																	3																							
TUR604																4														6										3																													4		1															3							5												2										
TUR605												5		1																												1											2						4														3						1																													1							
TUR606						1									1																																	1										6																													1				1				4																				1
TUR607																			1													1				1																																													3			1				2											1											2					
TUR608										1															1																		1								1	1															1										1					1																																	
TUR609														6								4		2		3																									2																3																																			2									2				
TUR610																																																				4	2		3																									1		2																	3					2		2									
TUR611			2						1														5																																	1										1																							1																										
TUR612																																			3				2					2																				2						5	2																		3							2																			
TUR613	1										4																							5							3	1				4																									1																														2														
TUR614															1														1	1										1							5			1												1																																						1															
TUR615																					1							1																				3																1						2			1																																			1			1				
TUR616																		6																																							1			1																								1			1					1													2				5						
TUR617																																			2																			1					1										1						1										1						1												1												
TUR618					1																	1											1						1																													1											1		1																	1																	
TUR619		1															1										1											1																																				1																							1			1															
TUR620				2													1																				3																																	5									4																	1												4							
TUR621	1												1																			1											1																		1											1																				2																		2					
TUR622									2					2																									1	2									1						2											2																				3																													
TUR623																								2					4		5																	6																					3																																		5				6				3				
TUR624										1					1	3		4																3																																					1						1																												3										
TUR625		2																											2				2																																		2											4												1								1										2							
TUR626							1																												5																1	1				2				1																					1																									1									
TUR627			2		2		1				4																																	1														4																								1									3																								
TUR628																3	1																							2		2			2		1																	2																			1																																
TUR629			3																											4				2																2									2		2																																																						2
TUR630																		3		4												1																							2														4													1							1												1														
TUR631								2				2										2						3							4													5																	2																																					2													
TUR632														6										1																				1		5																																									1						4	4										1											
TUR633						1						4										2														1					2					1				1																																		1																															
TUR634				2					1																													5															2										2													1									2											4																			
TUR635													1																								2														1																						1				1				1																			2									1						
TUR636					1						1								1					1																																																							2		2														2					1															
TUR637																		5					1																																					1																	1					1													1		1			1															
TUR638				2																																1																											3				2																					2							4								1							2					
TUR639															1																						2									2				1		3							1									3		2																																													
TUR640						1						3										1																																																						1																				2						1				1									
TUR641	3	5					5			4								5												4																																																																													6				4				
TUR642																																															2		5																													3							3				2					4										2											
TUR643					1					1																						1										3										2																											3					3																										2					
TUR644						1					5		3																											4					7																				3																																								5				5						
TUR645																		1																												1			1					1					1																																1	1			1																				
TUR646												7											4					5	5								3							2																																	2										4																												
TUR647																				5					4																												1																						1	1						3																2	4																
TUR648																																											1								1				1											1				4																1				1																	4								
TUR649	1													3											2						2				6																																																							1	1													1											
TUR650					2																																										4																	2								2																								1						1		2		1									
TUR651								1	1																											1				2																									1		1			5													3																																
TUR652																	2																																	1																					2				1						2			1														1									2								
TUR653			2															4																																			2				1																									1											3	1														1							
TUR654												3	2										3																																								3			2							2																										3			2													
TUR655		5																	1																										2				1																												3															1													1					5					
TUR656				2												3				2							1																																													1				2			3																								1												
TUR657						1									1																																							1					1			1												1						1															5																				
TUR658						1										1			1								1																										1								1																																					1											1						
TUR659																																										3														3																									3									5													5												
TUR660		4																			4			4										4		4																		4																				4																																									
TUR661															1														1		3																													1						1									1												1																						5						
TUR662			3									2								3													1																1	1																	1										1																																						
TUR663										5							3					4																																														4	4													2				3													3																
TUR664																																									1							1									1																1			2				1				1																		1													
TUR665													2					1								1													1	4						5												7																																							1																		
TUR666																									2					1																																2	3																										2																2	1									1
TUR667									1																							1			6									2																											3																			1		4												1											
TUR668																		2										4			2																								2				2										2																								3																						
TUR669				2			1				2					2																																														1		2																							1																								1				
TUR670					1					3																																	1													5																							1		2															2			3																
TUR671														6			4																	2														2												2																																		4																					1
TUR672																																														1							1										1			1				1				1																	1																			1					
TUR673																					2			1					5				4			3			1																																		5																																	4									
TUR674		3																												5															3					1				1				4																																							1						1												
TUR675																							1																								1		1																							1								1		1													1							1													
TUR676			3										1									1				1	1																														2																										2																								3								
TUR677																					1				5																	2										6											3					5									3													4																									
TUR678																								1		2															2																	2																				3						1		1																							3						
TUR679		2												2		2											1																							1			3																																											1															1				
TUR680								3	5																						5								4										3								2							3																															4																				
TUR681			3							3	3																																				3																							3		3	4	1																																									
TUR682															1																				4								2																												3						3																							2	1														1
TUR683	1																		1				1																																														1						1				3								1																												
TUR684						1														5													2			1		3																	3											4																																																	
TUR685																																														5										1									4																		2								3								3							4									
TUR686																	1												2													1									1																	3								2						1											5																						
TUR687																2												1																																														1							2		1		2			2														2													
TUR688																					1								2								2							1																																								1													4																		1
TUR689					1																		1								1														1									1											1	1																					1																												
TUR690												3																																						1																					1	1							2															3				1																	
TUR691								1							1				1																						1																										1																		1																				3			2							
TUR692						2																													3																	1															3		3									4																												2	4								
TUR693							1			2										4							1														5							1			2																																																									2							
TUR694				1				1																						2						1																																		4																1													1												1				
TUR695																																	4									2																		3				3																2															2															5					
TUR696	1												1	1																																							1						1									1																																	1				1										
TUR697			2																																					1																1					1															1																	2			1													2						
TUR698																										2																															3					2	3													4															4												3	3											
TUR699											2							2											2					2																					2													2																										1														1							
TUR700																2																												2	2																									3										4											4		2												2										
TUR701																			1												6		6								6									1								7																																													1						7						
TUR702																						4															5														1										1						1																					4								1					2														
TUR703																											3	2								2		5															4											3																							1																												
TUR704																																																									4		2										2					2	1							2	4			3																													
TUR705																																								4																																2									2									1							1									4									
TUR706								1												2						5									3																																										1	3																																	1				
TUR707			5														3							2	4							2																																									2																														3												1
TUR708				3											2																			2							2																2					2											2																					2																					
TUR709													1																							1																		1					1		1			1													1																		1																				
TUR710								1												5																																																													5																	4		5	3						1	4							
TUR711																1																			3														1			1															1																				1															1							2						
TUR712	1									2							6										2																		4																													1									3																					2											
TUR713																												3					4																														3			4																						7		1							1									2									
TUR714																																							1					1			1	5												1								1																																										1					
TUR715											2																																2								2				5														4									4																																	3				
TUR716																		2																																						5		4														1							5										2		2					4																			
TUR717									7										1			1							1								1																																	4																																			1										
TUR718					1																																				3					1																																3			4		2								6																4								
TUR719				1			1				1																										1															1																								1		1																					1																
TUR720			2										1																2											2																																										1						1				2																1							
TUR721																																1	1															4						1						1			1									1							1																																				
TUR722												3																																												2		2																													1							2			1																		
TUR723																					2	2												3		2						2		2							1																																	2																															
TUR724		1																		1																					2																										2																		1																			1			1								
TUR725																	1														2																																		1																									2								1		2	1														
TUR726						3																																							4																4										6									4															4											6									
TUR727																														3																			2															4				5																					2				6			2																			2
TUR728															2																				4																						2																				6														5																		4						
TUR729																				7	7						7							7													7	7																		6																																								6									
TUR730					2																		2																											1		1												2						2											2												3																						
TUR731																		2							1										3	1																					1																2																															1											
TUR732																													5																															1		1																		5					3		4													3			3												
TUR733	1						2						3											1						3																					2																											4																		3																			
TUR734											3					1						1																																				3			1																							1																									1						
TUR735												5																				1																								1																		4																2	4											1					5								
TUR736																						1															2				1												2														2									2																						3				1													
TUR737							1	1																			2							1					1																			4																																				1																					
TUR738																	1													3																											3							3										3	1												1																			2									
TUR739									2																													3						1											1										2											2												2											1																
TUR740						1																																								3					2															1																		2					2																				3						
TUR741	1																				1					1																													1										1					7		1																															1												
TUR742					2																		3		2							2	1															3													2																														2																								
TUR743									2	2									2										2																																																					2	3									2															2								
TUR744		2																		2											1				1									1			1																															1																	1																				
TUR745																									1													5								3												5										7											3					2																															1
TUR746				5			2																																	3																																								4																	1			3									2						
TUR747																								2				5				1			5																									2		1								6																																													
TUR748											4												6																1				2				6												2														4																																3										
TUR749				1			1																															1							1							1																		4																										1								1											
TUR750					2									7																														1																	3			5												7																											2				5								
TUR751									1									3													1																		1								2																				2													2																									
TUR752	1									3										6																1	5																										4															2														3																							
TUR753			3																1																							1								1	1																																															1						1		1									
TUR754								4					1								1						2																					5																							3				2																			1																					
TUR755													3																							1																							1	1																			7			2					2			3																									
TUR756																					1												1	1																			3										2																						1														3								4								
TUR757									4																							1			5													5						2		6																																															3						5						
TUR758							1					1																																	1																				1	1																	1											1				1																	
TUR759										1																		1										2						1			2		2															1																																									1										
TUR760																			1												3																					1																	1		1				1																				6															2					
TUR761		2			1																																						2												3						3																												2		7	2																							
TUR762						1		4																2																																		6																			1			2																										1					3				
TUR763	1			1														3												3									1											1																																															1				1														
TUR764															1		1						1																																												1			1		1						1																						1															
TUR765																				2																														1				1												2					2															1												1											1						
TUR766					2	2																			2			2											2																							2																													2				5																				
TUR767							1		1																				1						2																																																							1																									1
TUR768								4					4																																		4																										4					4																					4		4						4								
TUR769		1										2						2																																			1				1																	1						1																								1											
TUR770				3																				1																																		4														1			1								5	1												2																			
TUR771																	2		1		1												1										1					2								1																															1																												
TUR772															1												1			4		1																											1		4						2																						1																										
TUR773											2												2									1																																				3													1	1																							2			3							
TUR774					1																				1																4									1			1																1														1																											1					
TUR775								5					6																																		2				4																7						4			4													1																										
TUR776							2															3															2																						1																		4							1																							5								1
TUR777																		2																				4		2		1									1				1													1								1																																							
TUR778																1												2							6																				1																3			1																															1				1						
TUR779			3																	3																																														4				6					1				1														6			1																			
TUR780														5																			2					2		1						3																1			1																																							1											
TUR781	1	2																												5																												6																																		1			4						1														
TUR782				2					1															1							4			1																						1																													1																														
TUR783																	1																			1			1			3			4																		5																									1																		5									
TUR784			1																																			2											1														1																							2		2																						2					1
TUR785																																										3														3																								4				3							3		4														5		3						
TUR786				2																									2							2																					2													3																				2																2					2				
TUR787									3	2						4																							2																			7																				5									3								5																				
TUR788							3																																																									3										6																		5																							
TUR789																	1								1						1																			1	1																	3																													1																		
TUR790		3													1				1																								1																										2										1		1																			1															
TUR791												2												1											4													3				2									2						1						4																																										
TUR792																												3				2																						2	2				1																	3													2												2														
TUR793													3																				4				4																6									1				3																														5									2										
TUR794																											2							4						2																																			2								5		3									4								2													
TUR795			2															4										1										2														2																											2	1					2																														
TUR796														7							1																															3													1						1											1	2																																
TUR797																				4																										2																		1					2						1									1			1							3																					
TUR798										1																												3						1																							1																									5					3				2														
TUR799			5	5																														3																													5																	2	3												3											2											
TUR800					2				1													2																						1																					1				1								2																5																						
TUR801																										4													1			1								1																										1				1		1					1																												
TUR802		1	2	1																															2																															1												4								1																			1										
TUR803													4										6						4									5																						4																												5											5																
TUR804							2				3																			4																			1				5	1																		1			1																																								
TUR805																		2						1			4	1																							1																	1					1																																				1						
TUR806	2													2																													2		4													4																																1																1				2					
TUR807																	1														2															4									1	1																									2																	1																	
TUR808										1										1																																										1												1											1						1				1													1							
TUR809																2										3																															1																	1								1															1				1	1													
TUR810					4														4																						4																				4	4																										4	4																4										
TUR811							2				2																													2																								4			2																3	2															4																
TUR812		1												1								1																							1						1																									1																											1												
TUR813																																																							3														5																																														1
TUR814																	2				1						1																			1																									1	2								2														2																					
TUR815												5			1					5																1																														2																									1		2							3															
TUR816									1																							4																															4															3												1														2			6			5					
TUR817																									1														1			1														1			1																										2	2									6																				
TUR818										1														1																			3	1								2		3																																						6														1									
TUR819																																					4								4				4																					5						5											4												4																
TUR820											2													1															2																								1	1																1												2					1																		
TUR821														2					1		1				1																																2																						3																5									1											
TUR822																6															2	1											1									1																																														1		3															1
TUR823							2		2						2																					2																									2																2							2					2																										
TUR824						1						3																						1	2																			1												1																								1	1																								
TUR825																												1																			1								1	2				1												1																1																							1				
TUR826																																												2																														2							4		3											4							2							3							
TUR827				1						1							1			2																		1																														2	1																																								1						
TUR828					1												1						1																			1																				1																							1											1							1												
TUR829											3																																	1															1		1															1																												3											
TUR830												1		1																						1	1																																			1					1			1												1																							
TUR831															1												1							1						1						1		4							1									1																																																			
TUR832			3																											6												3															5																	3												3																	2			4									
TUR833																			3																			5																											2													6											3						7												4								3
TUR834	1																	3															1																					3								1	3																								1															1													
TUR835																				3		3													4						3																										1																																3						1										
TUR836																																													2				1		1		3					6																																1			4								1														
TUR837						2							1																																					1		2																		2			1		1																						1																		
TUR838		2			1				1																											1																																											1									1	1																										
TUR839											6			7									7																																																1		1										1															1												3					
TUR840			1		1				1																																												1				1									1										1																																							
TUR841							2																		5						3		2				3								4			5															3																																																				
TUR842													3																						5			4	1											1								6																										1																4															
TUR843																								1																	1										1											1						2										2	1								2																												
TUR844															1		4		3																																								3																											3					3												1												
TUR845										1											1																			4						7																		5								7																1				5																							
TUR846						1										4												1																								1													1										2		4																			3																			
TUR847								1														1																				1		2																1														1																							1																		1
TUR848																														1										2											2														1																													2	6		1									2									
TUR849																												1			1														6				1												1					2																1																							3										
TUR850		5																												5																															4						5		3												3									2															5										
TUR851						2								2		3								1												1	2																							2																																	4																						
TUR852	2										3										1																																																														1			3						3									2								2						
TUR853					3				1																	4	2					2	4										3																																														1																										
TUR854																				5																			2					2		6																											2							3																							2				6								
TUR855													1																												3	2																										2							2											2					2									2															
TUR856			2									1					2		1																																																										1																								1		1												
TUR857				3																2																							3																	1			5	1																							1							1																					
TUR858									1																		1											4	1																																		1						3											2												1													
TUR859																		4				2																									3							2					4												4																								6		2																		
TUR860											1										1			1						2	2			2																			5																																																							1							
TUR861																										1																1										4																				1																			5															2			4	4					
TUR862		1								1					1																																		1																		1	1																																2											1				
TUR863	3					3	3																									3			5					4																									3																											3																							
TUR864																									4											2								2							1															1																5			1											2																			
TUR865																							2										1												1											1	1																																															1											
TUR866																																																							3							1							3	7					1	4																	5												1										
TUR867			4										1					1														2																6																																			5															1			1														
TUR868										1																											7													3														5						6																							6											4											3
TUR869					1	1									1																																														1														1														1								1	1																	
TUR870									2											2																1										5									1																1											4								2																									
TUR871				1																																																																									3		1									6			3	5							6																
TUR872														3																								2	2															2				3								2		2																																									2						
TUR873	1										1										1							1		3											4																																													1																				3									
TUR874																																											1		5							4																										1		5															5	1														7					
TUR875																										5					6				5																																																																				1												
TUR876							2																				2		2																		2																3											2																																		3							
TUR877																	3								1																										1					7													3																		1																		1		2								
TUR878											1							5													4														6								4																	6													3							2																									
TUR879		4			4																			2											6		3																															5					5																																	3									
TUR880									4																			4																														4														5			5												4															6		6											
TUR881							3																																												2									5											1								3																					4					3			6							
TUR882				1	1								1																				1			1				1																																																									2	1																	
TUR883						1																			1																	1																													1																	3					3							1															1
TUR884																			1					1					2		3													1																																																		1			1												2						
TUR885																		7																			7								7																				7			7									7																															7			7				
TUR886			6																																						5		4					4					4																																4							6														2									
TUR887							1				2	4																																												6																															2		1	4																									
TUR888																					1	1								4				3															1																				1	5																																	1												
TUR889																																																											2	3		1										3		4										4							2								5																
TUR890										1			1														1																																		1																									1										1								1											
TUR891									6																	7							4																			2															1									3						3																							1										
TUR892														1		1							1									1							1																																										1														1							1													
TUR893																																			5			3																3				2															5					3	1																												1								
TUR894																					1												1																	1												1						3					3																1																										
TUR895																											2									1		2																				5						6											2																										4			1											
TUR896														1									6																									6																															1							5						6														1	7								
TUR897		6			1																																								1																																				1										1		1			5																			1
TUR898																		1																			1				1										1					1			1																																																		2	4					
TUR899						1	1																	1																																								2														1																1	1		1																		
TUR900																								3												3																						6				4						6																	4		4							4																					
TUR901																					3							4															7				7														5					6																2																								4									
TUR902				2	1																																		1									2																																						2							1			1						1													
TUR903																											3		5																																																				3		6																																
TUR904											5									3																																															3									1															2	6											1					7							
TUR905																																					5																6			3									1				4																										5				4												6				
TUR906																							3							2	1													1										1					1																																										1								2						
TUR907									3																								3		4																												4												3		3												3																		4								
TUR908									2														2		2						2																			2																													2										2											3															
TUR909			2															2	1																													2																																			3															1				1							1						
TUR910																					1					4	1										3								6				2																																															2	1																		
TUR911								3							2																																										5		3							1															3												5										2												
TUR912							1			1																																	1				1								2															5								2																	1																				
TUR913	2											5																																		3							2								7																										2																	4				4							
TUR914				1	1																																		1																			4				1							2													1				1																													
TUR915											4									5												2																								1															6																	3		2																				1					
TUR916						1																3		1					3											2																																																																	4		4								
TUR917					2	3																			3												4																										6															5														4							5																
TUR918												5																																			4			1	2													1																	4																										7								
TUR919	1																											3					1							3						2			1																																																			2															
TUR920				2						1																			2																																					1																						5					7												1					1					
TUR921																						1					1												1																													4									3										1														2			1											
TUR922															2					2			2															2																			2		2																										2									2																					
TUR923																3								2										4																												1					3																			1									4		1																		
TUR924			7				2											7																								3																		2	3									6																																						6							
TUR925									4																					6		3			4																					3																																										1																	2
TUR926							2				2																																											3				6														3										1					1				6																								
TUR927		1																																										5	1							6	3																													2		1												4																			
TUR928																																									5		5					3										6										2		5																						4																	1						
TUR929																		3	2							2										3	5																									2																																					5				2												
TUR930				4																																																							4		4		4																			4						4	4										4																
TUR931									3																	6			4	1										3																					2																																															5							
TUR932														7																	2			4																			1	1															5																			5														1													
TUR933											2		1																																4																											2																		3					4			3						3											
TUR934															1																																			1										1					4										1											2					3									5															
TUR935								1																									1						1			1																																				1																		1	1																		
TUR936																						1	1												4																													1																1														1											1					2					
TUR937										3		4				1												4																1								5							1																																																	1							
TUR938			3			1																					3																																		1		2				1																	1																											1				
TUR939		6																		3																1																2			5	3						2																											1																										
TUR940						1																																																				6																1			3										1	2															1			1									
TUR941																												1							4												2																																1																					2				1	1										
TUR942							1					4																															1											1															1			1																					2	1																					
