Rater	1021	1051	2011	2021	2041	2051	2061	2071	2091	2101	2111	2121	3011	3031	3041	3071	3081	3091	3101	3111	3121	3151	3171	3271	3321	3331	3351	3361	3411	4011	4021	4031	4051	4061	4071	4081	4091	4101	4111	4121	4131	4141	4151	4161	4171	4181	4191	4201	4211	4221	4231	4241	4251	4261	4281	4291	4301	4311	4321
VT_FR 1	3	4	1	2	1	2	1	5	2	1	3	1	1	2	5	2	2	3	1	2	1	2	2	1	1	1	2	2	3	1	3	1	1	1	1	1	2	2	2	2	1	4	1	3	2	2	2	2	1	2	1	4	1	2	1	3	1	1	1
VT_FR 2	3	4	2	2	1	3	2	5	2	3	5	3	3	4	5	2	3	2	3	1	3	2	3	2	3	4	4	3	6	4	3	3	4	3	2	3	3	3	3	3	2	6	2	4	5	1	5	2	3	2	2	4	1	3	4	4	3	5	4
VT_FR 3	4	3	3	4	2	4	4	4	4	3	3	2	2	3	4	3	2	3	2	4	2	2	4	3	2	3	2	2	4	3	2	4	4	3	2	2	4	3	3	3	4	5	3	4	2	4	4	3	2	3	2	3	2	2	3	3	3	3	3
VT_FR 4	4	3	2	4	3	3	3	5	3	3	6	3	2	2	6	3	3	4	3	5	3	4	4	1	2	3	4	4	3	4	2	2	4	4	3	3	5	2	3	4	3	4	2	5	3	5	2	2	2	3	3	5	4	3	3	5	4	3	5
VT_FR 5	2	2	1	1	1	2	1	2	1	2	2	3	1	2	4	2	2	2	2	2	1	1	2	1	2	1	2	2	3	3	2	1	2	2	1	1	2	2	3	2	2	3	1	2	2	1	2	1	1	2	2	2	1	1	1	2	1	2	2
VT_FR 6	5	4	4	5	4	6	4	5	4	4	5	3	4	5	6	4	4	4	4	5	4	5	4	4	4	4	5	4	5	5	4	5	5	5	4	4	4	6	4	5	5	6	4	5	5	5	4	5	3	5	4	5	5	5	5	5	5	4	4
VT_FR 7	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
VT_FR 8	3	2	2	2	2	2	2	2	2	3	3	1	2	2	3	2	1	2	2	1	2	2	2	2	2	2	2	3	3	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	1	2	2	1	3	2	2	2	1	2	2	3	2	4	2
VT_FR 9	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
VT_FR 10	2	2	1	1	1	1	3	2	2	1	6	1	1	2	1	2	1	2	1	3	1	2	2	2	1	2	1	2	2	2	2	1	1	3	1	1	3	2	3	2	1	3	2	3	1	1	1	2	1	1	2	3	1	1	2	3	2	1	2
VT_FR 11	2	2	1	2	2	2	3	3	2	2	3	2	2	3	7	2	2	2	2	4	1	2	2	2	1	2	2	2	2	1	3	2	2	2	1	2	3	2	2	2	2	3	2	4	2	2	3	2	1	2	2	2	2	3	2	3	2	2	2
VT_FR 12	2	4	2	3	2	3	3	3	2	2	3	2	2	3	4	3	2	1	2	3	2	3	2	3	2	2	2	3	4	3	2	2	2	2	2	2	3	2	3	2	2	4	2	3	3	2	3	2	1	3	2	3	2	3	2	3	2	2	3
VT_FR 13	2	1	1	2	1	4	1	4	5	2	4	1	1	6	4	5	2	2	1	2	1	3	4	3	2	2	1	1	4	2	4	2	3	3	1	1	5	2	3	2	2	6	1	5	2	3	1	2	1	3	1	5	2	2	2	2	2	1	4
VT_FR 14	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
VT_FR 15	1	2	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	4	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
VT_FR 16	6	4	4	4	4	4	4	6	4	5	5	3	4	5	6	4	4	4	4	4	3	4	5	5	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	5	3	5	5	4	5	4	4	4	4	5	4	4	5	5	4	4	4
VT_FR 17	3	6	2	2	4	4	2	3	5	5	4	2	3	3	5	2	3	6	4	5	4	6	4	6	3	4	2	3	6	5	4	3	2	3	3	1	6	5	6	3	5	6	5	5	3	2	3	4	3	5	5	4	5	2	2	4	5	4	2
VT_FR 18	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
VT_FR 19	3	4	2	3	1	3	2	4	2	4	4	2	2	3	4	3	3	3	2	3	2	4	4	4	3	3	3	3	3	3	4	3	3	3	2	2	3	3	4	3	3	4	3	4	3	2	4	2	3	3	3	4	3	3	2	3	3	3	4
VT_FR 20	3	2	2	2	2	2	7	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	2	2	2	2	2	2	2	7	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
VT_FR 21	4	4	3	4	2	4	3	4	5	3	4	5	3	4	6	3	3	2	4	5	4	5	4	3	4	3	3	5	4	4	4	3	4	5	3	3	5	3	3	4	4	4	4	5	4	3	3	5	3	3	3	4	3	3	3	4	4	5	4
VT_FR 22	2	3	1	1	1	2	2	2	2	2	2	1	2	2	4	2	2	1	2	1	1	2	3	1	1	2	1	2	3	1	3	1	1	3	1	2	2	2	2	2	2	2	2	2	1	2	3	1	1	2	2	1	2	1	1	2	2	1	2
VT_FR 23	2	3	1	3	1	3	3	4	3	2	3	2	2	3	4	3	3	1	3	3	2	3	5	2	3	1	2	3	3	3	4	3	3	3	1	1	4	2	2	3	3	4	1	4	1	1	2	2	2	2	3	2	3	2	4	1	2	3	3
VT_FR 24	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1
VT_FR 25	1	5	1	2	1	3	1	4	2	1	6	2	2	3	7	2	2	3	2	2	1	5	3	5	2	4	1	2	6	3	4	2	3	5	1	2	2	4	3	2	3	2	1	3	1	1	4	5	1	2	3	3	1	3	2	7	1	2	5
