Rater	F_22_ATTR	F_23_ATTR	F_29_ATTR	F_33_ATTR	F_37_ATTR	F_39_ATTR	F_43_ATTR	F_46_ATTR	F_47_ATTR	F_53_ATTR	F_61_ATTR	F_62_ATTR	F_65_ATTR	F_66_ATTR	F_69_ATTR	F_73_ATTR	F_74_ATTR	F_76_ATTR	F_91_ATTR	F_92_ATTR	F_95_ATTR	F_98_ATTR	F_99_ATTR	F_102_ATTR	F_104_ATTR	F_105_ATTR	F_110_ATTR	F_111_ATTR	F_115_ATTR	F_116_ATTR	F_120_ATTR	F_131_ATTR	F_132_ATTR	F_135_ATTR	F_137_ATTR	F_138_ATTR	F_139_ATTR	F_151_ATTR	F_152_ATTR	F_153_ATTR	F_154_ATTR	F_155_ATTR	F_156_ATTR	F_158_ATTR	F_164_ATTR	F_170_ATTR	F_176_ATTR	F_178_ATTR	F_183_ATTR	F_185_ATTR	F_186_ATTR	F_188_ATTR	F_190_ATTR	F_196_ATTR	F_197_ATTR	F_199_ATTR	F_200_ATTR	F_205_ATTR	F_206_ATTR	F_213_ATTR	F_219_ATTR	F_227_ATTR	F_232_ATTR	F_238_ATTR	F_239_ATTR	F_256_ATTR	F_258_ATTR	F_275_ATTR	F_282_ATTR	F_286_ATTR	F_299_ATTR	F_302_ATTR	F_303_ATTR	F_304_ATTR	F_305_ATTR	F_307_ATTR	F_309_ATTR	F_310_ATTR	F_323_ATTR	F_330_ATTR	F_334_ATTR	F_340_ATTR	F_341_ATTR	F_345_ATTR	F_352_ATTR	F_355_ATTR	F_363_ATTR	F_365_ATTR	F_366_ATTR	F_369_ATTR	F_374_ATTR	F_377_ATTR	F_378_ATTR	F_380_ATTR	F_382_ATTR	F_386_ATTR	F_393_ATTR	F_395_ATTR	F_398_ATTR	F_404_ATTR	F_405_ATTR	F_419_ATTR	F_424_ATTR	F_427_ATTR	F_429_ATTR	F_434_ATTR	F_441_ATTR	F_444_ATTR	F_447_ATTR	F_452_ATTR	F_453_ATTR	F_454_ATTR	F_456_ATTR	F_457_ATTR	F_460_ATTR	F_465_ATTR	F_468_ATTR	F_470_ATTR	F_473_ATTR	F_474_ATTR	F_475_ATTR	F_484_ATTR	F_486_ATTR	F_490_ATTR	F_492_ATTR	F_493_ATTR	F_497_ATTR	F_502_ATTR	F_503_ATTR	F_505_ATTR	F_513_ATTR	F_514_ATTR	F_521_ATTR	F_523_ATTR	F_526_ATTR	F_527_ATTR	F_532_ATTR	F_533_ATTR	F_534_ATTR	F_535_ATTR	F_536_ATTR	F_537_ATTR	F_539_ATTR	F_542_ATTR
TUR171																																																		1													3											3		3																													3																		2	5																		4		
TUR172												1																3																1																																													4																																																5							
TUR173																					3																	3										4																									1																												2																									1								3										
TUR174							4																																			5														5																					5																	3																													4								4					4								
TUR175														6																		1																1																																																										1												1														1												
TUR176															1																				2															1																																			1	1					4																1																																					
TUR177	3							4																																																									6							4									4															4																5																										3						
TUR178																																												1								3															4	5																																																									4	2						7												6
TUR179																																				6																																																				6					1											1						6					1				1																									
TUR180	1								1																														4																															1															7															5																												6											3					
TUR181	2																															1					6																				1						5			7																																										2																				5																
TUR182																																					5													1																								2	4										3					4												1											1																															
TUR183																				5		6																							4																																																					6																														5		4								4						
TUR184																																																6																												2								3																							1									6									2			1									5							
TUR185																																								5																												5																									4								4																																							3			3	
TUR186																																																																								3																																					3			1											1								2	2			6									
TUR187																1																							1																																															5														2																																		1	1	1							7	
TUR188																					3								5															4											4						5																	4																																														6																				
TUR189												1																						4					5																4																						6																																												1																		3					
TUR190			3	4		9																																																								3											3				4											6				3																																																				
TUR191																																	2																	4			4																									3																5																																														4				
TUR192					1																																													5																								5										4		4													5																											2												4						
TUR193																									4										2																		5						2									2																					2				4								1																																											
TUR194																3																					5																				2																																									4									2																				3		2										6					
TUR195			1																														3	2																																5			1																								2																											2				4																				
TUR196																													1											4																	1																						5									2				1																		7																	6																	
TUR197																																								2																																																	4													6						3																		1					5							3				6		
TUR198				2																				2																								2																			1																					3		2					1																																																3	
TUR199																												3									4																																																		2																							5	2																																	
TUR200																		1																	2																																3																																		1			4																1																					1			
TUR201												2															3																		3												1			3																						1																																4	3																													
TUR202																														4						6																2																							3																						2								3																											3			2									
TUR203																																																								2																		4						4															1											2																3				1							3											
TUR204										3						2								5																																																																			6							4				2																											3															
TUR205	1																																							1									1				6																				1																											5													1																					1										
TUR206																																																				3																							5			2		3																																2								2									2															
TUR207					9					1														6																			1																					2																			2						1																																												2											
TUR208						4													4			6											5						4																				4																													6																																						4																		
TUR209																	2																				5				6	2																																																	5											4																	4					6																				
TUR210		2																													2													3																																																								5																																						3			3			2
TUR211	1																																																											1						3																1																																	1															1					1	1								
TUR212																																																									1																				6							4						4						1								5					1																									4										
TUR213																				6																									5										7													6								5																																													1						1	1																
TUR214							1								1												1																					6																																							5												1																																1													
TUR215																									4			5				3																								4													2				2																									4																																														
TUR216																		3					4																								4							6									4																		5																						5		3																																							
TUR217										1								1																1																						2												1																																					1																				1																		4	
TUR218							6	4																																					4																																		6										4											4											4																																	
TUR219												2														6		3																1																				1																																											1																	7								5												
TUR220				3																																										3								3																			2																																				2											2						2									3									
TUR221													1			2																	1							3															6																																																			4							2																												1			
TUR222															1														1	2		1					1								2																																																																																	1														1				
TUR223																					1																							1					2								1										1																												1																						6																											
TUR224		1											1													5		3																							1							1																																									2																																												4	
TUR225																																																											4																								3				4																						4				1			3						3					3																	
TUR226																								4	2																													2								2							1																																																																		1					5				4
TUR227																																		5	4				2		6					3																																																				5							3																																				4			
TUR228														5									3						5																								3												3																																5																								4																							
TUR229						1																					1									7																																									6	1		5																						1																													1													
TUR230																																2																															1							1	5											2										2											6																																			4						
TUR231																																															1																											5															1				2							1																				1																								
TUR232												2																								5								2		4																						4																		3																										2									4																							
TUR233			4																			6																			6																3															3																							4												5															5																						
TUR234									4												1							2										6																																															4													2																														1													1			
TUR235											1					1																																							7															1				4										6																									1																											6								
TUR236																	2														5									3																																																																						5								2					1				2								5									
TUR237	7													5																				1								4									4																											2																																																					1									4				
TUR238																																																					5														3									1																												7																										1														
TUR239																									3														1								3																	5																																										5								5																								4						
TUR240						1				4																																			3					3						4		2																																																		3									6																											
TUR241								3																			3										4																	4																												2														3																																				3		5										
TUR242					9																								5																							4								3					6																						4												3						3																																							
TUR243																																																4																					2				1										5			2		7					4																							4																												
TUR244																				2						1				1					1																																																																			1																											1													3	2	
TUR245									4																																											2															1																																																																		1			2								5
TUR246																												6															3																											2						5										2																						4																				2			4													
TUR247		2								3																									3																										3																																												3																		3																5					
TUR248																			1							7											3		2												7																																																																					2						2									6									
TUR249																																												2																											4		1															3																																	1																			4				
TUR250								1																6																																																					7														5															7									2																						7							
TUR251			3													3																								4																																																																													7					4																3						
TUR252												1		5																																										4		1			4						1																																																																					5								
TUR253																																1																							3																										2																4					1											2							2															2									
TUR254																				4				4																																																																		4											4																								4																			6
TUR255																													7																																													7								5																5						4							4																5			5														
TUR256										5																																	2						3				6													6																																																			7				4																							
TUR257																						7																																						2					3			3																					2											4															2											1																		
TUR258					5																																							3															4																																			4				6													7	5																										6						
